,ProductName,Price(₹),Original_cost(₹),Rating,Discount(%),Delivery_offers,Type_models,Capacity (L/hr)
953,Aquamart Advance,4511,19999,4.3,77.0,Free delivery,Electrical & Storage,5
954,Aquafresh SWIF,4652,13999,4.3,66.0,Free delivery,Electrical & Storage,12
956,Cosea New,4790,12500,4.3,61.0,Free delivery,Electrical & Storage,7
957,Royal Aquafresh,4904,16500,4.3,70.0,Free delivery,Electrical & Storage,8
958,E.F.M Multilife,7079,11999,4.3,41.0,Free delivery,Electrical & Storage,5
960,Blair ALFA,4930,19999,4.3,75.0,Free delivery,Electrical & Storage,17
961,AQUA NYC,5034,14500,4.1,65.0,Free delivery,Electrical & Storage,12
962,AQUA AquaPearl,7989,18000,4.3,55.0,Free delivery,Electrical & Storage,20
964,Aquaultra A700,4699,11500,3.8,59.0,Free delivery,Electrical & Storage,5
965,AquaDart RO,4899,19999,4.3,75.0,Free delivery,Electrical & Storage,12
966,AK IVORY,4299,14999,4.3,71.0,Delivery charges,Electrical & Storage,15
968,AQUA AQUACRIZEL-BLACK,5482,11999,4.3,54.0,Free delivery,Electrical & Storage,18
969,Blair ALTIS,4971,19999,4.3,75.0,Free delivery,Electrical & Storage,17
970,Blair GLORY,5830,19999,4.3,70.0,Free delivery,Electrical & Storage,17
973,Blair CRYSTA,4929,19999,4.3,75.0,Free delivery,Electrical & Storage,17
974,Blair FUSION,4934,19999,4.3,75.0,Free delivery,Electrical & Storage,17
976,AQUA Red,5699,14500,4.3,60.0,Free delivery,Electrical & Storage,5
977,ojhashree Aqua,5990,15990,4.3,62.0,Free delivery,Electrical & Storage,5
982,AquaDart Premium,5399,19999,3.7,73.0,Free delivery,Electrical & Storage,5
