,ProductName,Price(₹),Original_cost(₹),Rating,Discount(%),Delivery_offers,Type_models,Capacity (L/hr)
239,Blue Star,12998,13400,3.0,3.0,Free delivery,Electrical & Storage,3
240,Always Gravity,1238,2999,4.3,58.0,Free delivery,Non - Electrical & Storage,5
241,LG WW172EP,23500,25999,4.5,9.0,Delivery charges,Electrical & Storage,10
243,LIVPURE Rental,3263,9999,5.0,67.0,Free delivery,Electrical & Storage,5
244,HAVELLS Delite,21990,27917,3.8,21.0,Free delivery,Electrical & Storage,20
245,MarQ by,4191,16500,4.1,74.0,Free delivery,Electrical & Storage,10
248,Eureka Forbes,7124,16999,4.1,58.0,Free delivery,Electrical & Storage,15
249,Aqua Fresh,4499,16500,3.8,72.0,Free delivery,Electrical & Storage,5
251,AquaDpure RO+UV,4999,24999,4.2,80.0,Free delivery,Electrical & Storage,12
255,Grand plus,3905,16500,4.3,76.0,Free delivery,Electrical & Storage,14
258,HAVELLS GHWRPMB015-RO-MAX,14750,18918,4.1,22.0,Free delivery,Electrical & Storage,20
259,Eureka Forbes,19200,16599,4.1,43.5,Free delivery,Electrical & Storage,15
260,Aquaguard SURE,8250,8699,3.8,5.0,Free delivery,Electrical & Storage,5
261,HAVELLS Digiplus,15999,23499,4.1,31.0,Free delivery,Electrical & Storage,5
264,CUCKOO CP-KN501HW,11206,26990,3.4,58.0,Free delivery,Electrical & Storage,60
265,Prestige Naturoflow,8250,10995,4.3,24.0,Free delivery,Electrical & Storage,5
266,Aquaguard NEO,9900,15000,3.1,34.0,Free delivery,Electrical & Storage,5
267,KENT 11063,5250,7000,3.3,25.0,Free delivery,Electrical & Non - Storage,5
271,Aqua Fresh,3999,13999,4.3,71.0,Free delivery,Electrical & Storage,12
274,MarQ by,2998,9999,3.0,70.0,Free delivery,Electrical & Storage,8
275,Aquaguard BLAZE,25300,30500,4.3,17.0,Delivery charges,Electrical & Storage,5
276,Home-pro Stainless,2042,5982,3.8,65.0,Free delivery,Non - Electrical & Storage,1
277,AO Smith,9699,12600,3.8,23.0,Free delivery,Electrical & Storage,5
280,Aquaultra Reeva,3991,13500,3.8,70.0,Free delivery,Electrical & Storage,5
281,Aqua Ultra,3950,13500,3.7,70.0,Free delivery,Electrical & Storage,15
284,Apeiron Water,2999,3000,3.0,43.5,Free delivery,Non - Electrical & Storage,5
285,Aqua Fresh,4099,13999,3.9,70.0,Free delivery,Electrical & Storage,12
286,KENT PRIDE,14499,19500,4.7,25.0,Free delivery,Electrical & Storage,15
287,nexus pure,5669,15499,4.0,63.0,Free delivery,Electrical & Storage,20
288,Aquaguard Ritz,15157,23000,4.1,34.0,Free delivery,Electrical & Storage,5
289,fedula AQUA,11000,19000,4.3,42.0,Free delivery,Electrical & Storage,15
292,MarQ by,899,2999,3.5,70.0,Free delivery,Non - Electrical & Storage,5
293,Zero B,599,16599,3.8,43.5,Free delivery,Non - Electrical & Non - Storage,120
296,HAVELLS Active,7190,8999,4.1,20.0,Free delivery,Electrical & Non - Storage,5
297,Remino 25,6799,18999,4.7,64.0,Free delivery,Electrical & Non - Storage,25
298,Pureit CLASSIC,7749,10799,4.4,28.0,Free delivery,Electrical & Storage,5
299,Blair ALTIS,5202,19999,4.5,73.0,Free delivery,Electrical & Storage,17
302,Keel EPIC,4212,16500,4.3,74.0,Free delivery,Electrical & Storage,5
303,Aquafresh STAR,4378,16500,3.9,73.0,Free delivery,Electrical & Storage,12
306,KENT Grand,17900,20500,4.4,12.0,Free delivery,Electrical & Storage,5
307,Kaveri AquaFresh,3853,14500,4.0,73.0,Free delivery,Electrical & Storage,18
308,Royal Aquafresh,4299,16500,3.8,73.0,Free delivery,Electrical & Storage,5
309,R.K. AQUA,4079,15999,4.0,74.0,Free delivery,Electrical & Storage,10
312,AQUA Epic,3699,17500,4.3,78.0,Free delivery,Electrical & Storage,12
313,Keel Mini,3999,16500,4.3,75.0,Free delivery,Electrical & Storage,12
316,Blue Star,4808,9900,3.5,51.0,Free delivery,Electrical & Non - Storage,90
317,KENT Grand,19000,23500,4.3,19.0,Free delivery,Electrical & Non - Storage,5
318,nexus pure,5101,17479,4.0,70.0,Free delivery,Electrical & Storage,20
319,Pureit by,13499,18500,4.2,27.0,Free delivery,Electrical & Storage,12
323,Aqua Fresh,1025,2999,3.1,65.0,Delivery charges,Non - Electrical & Storage,5
326,BePURE Dew,8999,14999,5.0,40.0,Free delivery,Electrical & Storage,15
327,Kinsco Aqua,4299,20000,4.2,78.0,Free delivery,Electrical & Storage,15
328,KENT SUPER+(11005),13750,19167,4.1,28.0,Free delivery,Electrical & Storage,15
329,Tata Swach,799,899,4.3,11.0,Delivery charges,Non - Electrical & Non - Storage,5
332,Aqua Yulan,6569,19990,4.3,67.0,Free delivery,Electrical & Storage,18
333,Zero B,599,16599,3.6,43.5,Free delivery,Non - Electrical & Non - Storage,120
336,Aqua Fresh,4599,13999,4.0,67.0,Free delivery,Electrical & Storage,12
337,Remino ,2069,4999,3.5,58.0,Free delivery,Electrical & Non - Storage,5
338,Aqua Ultra,4012,12999,3.6,69.0,Free delivery,Electrical & Storage,15
339,Always Gravity,898,2500,4.0,64.0,Free delivery,Non - Electrical & Storage,5
342,Keel EPIC,4212,16500,4.3,74.0,Free delivery,Electrical & Storage,12
343,KENT PEARL,18990,22500,4.4,15.0,Free delivery,Electrical & Storage,18
346,Kaveri AquaFresh,3699,15500,4.3,76.0,Free delivery,Electrical & Storage,12
347,Tata Swach,2399,2999,4.3,20.0,Delivery charges,Non - Electrical & Storage,5
348,hul purite,2500,2900,4.3,13.0,Delivery charges,Non - Electrical & Storage,5
349,AquaDpure Copper,1259,2999,3.5,58.0,Free delivery,Electrical & Storage,5
352,g.s. aquafresh,3431,12999,3.9,73.0,Free delivery,Electrical & Storage,12
353,Aqua Fresh,4939,13999,3.6,64.0,Free delivery,Electrical & Storage,5
356,Safex Aqua,6649,16999,4.3,60.0,Free delivery,Electrical & Storage,18
357,Purosis Dolphin,4999,12999,4.3,61.0,Delivery charges,Electrical & Storage,5
358,Blue Star,11999,18900,3.9,36.0,Free delivery,Electrical & Storage,12
359,AquaDpure Copper,4999,15499,4.2,67.0,Free delivery,Electrical & Storage,12
363,KENT STERLING,18900,20000,4.3,5.0,Free delivery,Electrical & Storage,5
366,Aqua Ace,5199,14499,4.3,64.0,Free delivery,Electrical & Storage,12
368,GE FILTRATION,299,399,3.4,25.0,Delivery charges,Non - Electrical & Storage,5
369,AQUA DOVE,3402,7750,4.5,56.0,Free delivery,Electrical & Storage,5
372,Aqua Active,8397,19999,3.8,58.0,Free delivery,Electrical & Storage,16
373,Aquaultra ULS,3979,13500,4.0,70.0,Free delivery,Electrical & Storage,5
377,Aquatec Plus,8389,19999,4.4,58.0,Free delivery,Electrical & Storage,15
378,MarQ by,3999,16500,3.8,75.0,Free delivery,Electrical & Storage,12
382,Always Gravity,279,799,4.3,65.0,Free delivery,Non - Electrical & Non - Storage,5
386,Aqua Fresh,4899,13999,3.7,65.0,Free delivery,Electrical & Storage,12
387,Kaveri AquaFresh,3886,14500,3.7,73.0,Free delivery,Electrical & Storage,12
388,AQUA Swift,3673,14500,4.0,74.0,Free delivery,Electrical & Storage,18
389,Muskpure star,5799,14999,4.3,61.0,Delivery charges,Electrical & Storage,12
392,KENT Sterling,17500,20000,4.3,12.0,Free delivery,Electrical & Storage,5
393,AQUA NYC,3499,14500,3.8,75.0,Free delivery,Electrical & Storage,12
396,Blue Star,9805,19900,4.0,50.0,Free delivery,Electrical & Storage,5
397,aquadeal 14,5874,15999,4.3,63.0,Free delivery,Electrical & Storage,15
398,Purosis Ropurifeir01,9199,19999,4.3,54.0,Free delivery,Electrical & Storage,5
399,Aqua Fresh,4999,13999,3.8,64.0,Free delivery,Electrical & Storage,12
402,MarQ by,3998,16500,3.6,75.0,Free delivery,Electrical & Storage,10
403,mclord 6527489,4999,14500,4.3,65.0,Free delivery,Electrical & Storage,15
406,KENT COOL,2750,4000,3.8,31.0,Free delivery,Non - Electrical & Storage,5
407,HAVELLS Digitouch,13499,28324,3.2,52.0,Delivery charges,Electrical & Storage,15
408,Aquaguard Superio,12990,19000,4.3,31.0,Free delivery,Electrical & Storage,5
409,SAMTA Techno,10220,25990,4.3,60.0,Free delivery,Electrical & Storage,10000
410,Aqua Fresh,4299,15999,3.9,73.0,Free delivery,Electrical & Storage,12
411,Apeiron Water,2152,2449,3.6,12.0,Free delivery,Non - Electrical & Storage,5
415,Earth Ro,3699,17500,4.0,78.0,Free delivery,Electrical & Storage,18
418,nexus pure,7714,23715,4.8,67.0,Free delivery,Electrical & Storage,20
419,HAVELLS Pro,13375,17159,4.1,22.0,Free delivery,Electrical & Storage,5
420,Remino Plant,7999,24599,4.3,67.0,Free delivery,Electrical & Storage,50
421,KENT Grand,17900,22500,5.0,20.0,Free delivery,Electrical & Storage,5
424,Grand plus,4299,16500,4.0,73.0,Free delivery,Electrical & Storage,1
425,MarQ by,4275,16500,4.3,74.0,Free delivery,Electrical & Storage,10
428,Aquaguard CLASSIC,14350,15500,4.3,7.0,Delivery charges,Electrical & Non - Storage,5
430,AQUA Epic,3868,12500,4.3,69.0,Free delivery,Electrical & Storage,18
431,AQUA Mineral,3699,14500,4.2,74.0,Free delivery,Electrical & Storage,12
434,NILE APPLE,7199,9999,4.3,28.0,Free delivery,Electrical & Storage,10
435,Aqua Active,8502,28000,4.1,69.0,Free delivery,Electrical & Storage,16
438,Apeiron Water,2374,2999,3.5,20.0,Free delivery,Non - Electrical & Storage,5
439,Kinsco Compact,1299,2999,4.1,56.0,Free delivery,Non - Electrical & Storage,15
440,AO Smith,19459,24500,4.3,20.0,Free delivery,Electrical & Storage,5
441,KENT Sterling,19890,23500,4.3,15.0,Free delivery,Electrical & Storage,25
444,DrinkPrime Rental,2799,14999,4.3,81.0,Free delivery,Electrical & Storage,5
445,AO Smith,16776,18990,3.8,11.0,Free delivery,Electrical & Storage,15
448,HAVELLS Max,14850,18899,4.2,21.0,Free delivery,Electrical & Storage,5
449,Keel Mineral,3899,16500,4.0,76.0,Free delivery,Electrical & Storage,20
450,AO Smith,19810,24400,4.0,18.0,Free delivery,Electrical & Storage,5
451,Remino Complete,1059,2999,4.2,64.0,Free delivery,Electrical & Storage,5
454,Always Gravity,1081,1999,4.2,45.0,Free delivery,Non - Electrical & Storage,5
455,AquaDpure RO,4790,16166,3.7,70.0,Free delivery,Electrical & Storage,12
456,LIVPURE LIV-BOLT+COPPER(RO+UF+MIN),12770,15000,4.0,14.0,Delivery charges,Electrical & Storage,15
457,LG WW174NPC,29499,16599,4.8,43.5,Free delivery,Electrical & Storage,10
460,AquaDpure Copper,4999,24999,4.3,80.0,Free delivery,Electrical & Storage,12
461,Grand plus,3799,16500,4.0,76.0,Free delivery,Electrical & Storage,15
464,Kaveri AquaFresh,3613,15500,4.3,76.0,Free delivery,Electrical & Storage,12
465,Kaveri AquaFresh,3661,17500,4.3,79.0,Free delivery,Electrical & Storage,12
466,Kinsco Aqua,4249,20000,3.8,78.0,Free delivery,Electrical & Storage,15
467,Hi Tech,6990,10990,4.3,36.0,Delivery charges,Electrical & Storage,18
470,Aquafresh Fourtuner,3324,16500,4.3,79.0,Free delivery,Electrical & Storage,12
471,Royal Aquafresh,3799,16500,3.8,76.0,Free delivery,Electrical & Storage,10
474,Remino AquaX,4899,15999,5.0,69.0,Free delivery,Electrical & Storage,12
475,Aquaguard Champ,9500,13000,4.4,26.0,Free delivery,Electrical & Storage,5
477,Beyond water,2227,6999,3.1,68.0,Free delivery,Electrical & Non - Storage,25
480,Aqua Fresh,4099,16999,4.0,75.0,Free delivery,Electrical & Storage,12
481,Kaveri AquaFresh,3959,14500,4.4,72.0,Free delivery,Electrical & Storage,12
484,Keel Mineral,3999,16500,4.3,75.0,Free delivery,Electrical & Storage,20
485,Pureit Copper,25499,32699,4.5,22.0,Free delivery,Electrical & Storage,5
486,Beyond water,1150,3499,3.8,67.0,Free delivery,Non - Electrical & Non - Storage,25
487,AQUANZA HERO,359,499,5.0,28.0,Free delivery,Electrical & Non - Storage,5
490,AO Smith,26865,29850,4.5,10.0,Free delivery,Electrical & Storage,5
491,AQUA Black,4899,15000,4.3,67.0,Free delivery,Electrical & Storage,12
494,CUCKOO Yuva,23990,25990,4.6,7.0,Free delivery,Electrical & Storage,30
495,Safex DOLPHIN,5949,13999,4.5,57.0,Free delivery,Electrical & Storage,18
496,g.s. aquafresh,3431,12999,3.8,73.0,Free delivery,Electrical & Storage,12
497,AQUA Kris,3610,16500,4.3,78.0,Free delivery,Electrical & Storage,12
500,AquaDpure RO+UV,4999,24999,4.3,80.0,Free delivery,Electrical & Storage,12
501,LG A2E,36999,16599,4.5,43.5,Delivery charges,Electrical & Storage,20
506,R.K. AQUA,4799,15999,4.3,70.0,Free delivery,Electrical & Storage,5
507,Grand plus,3750,16500,4.2,77.0,Free delivery,Electrical & Storage,14
510,MarQ by,1368,2499,3.9,45.0,Free delivery,Non - Electrical & Storage,5
511,Pureit CLASSIC,7999,9000,4.1,11.0,Delivery charges,Electrical & Storage,5
512,JX PERT,2500,16599,4.4,43.5,Free delivery,Electrical & Storage,5
516,Aqua Fresh,4599,15999,3.8,71.0,Free delivery,Electrical & Storage,12
517,KENT CRYSTAL,19900,23500,4.4,15.0,Free delivery,Electrical & Storage,5
520,Aquaspure AQUA,6649,12999,4.3,48.0,Free delivery,Electrical & Storage,15
521,SAMTA AquaPure,4514,14990,4.0,69.0,Free delivery,Electrical & Storage,15
522,Pureit Copper+,22933,32699,4.3,29.0,Free delivery,Electrical & Storage,5
523,kent ro,17790,22500,4.3,20.0,Free delivery,Electrical & Storage,5
526,LG L.G,17490,20090,4.3,12.0,Free delivery,Electrical & Storage,5
527,Kaveri AquaFresh,3649,17000,4.3,78.0,Free delivery,Electrical & Storage,12
531,AquaDart 25,5849,21998,3.4,73.0,Free delivery,Electrical & Non - Storage,5
532,AQUA STROM,3570,14500,4.3,75.0,Free delivery,Electrical & Storage,12
533,Aqua Fresh,2849,9999,3.1,71.0,Free delivery,Electrical & Storage,8
536,AU a,13990,15990,4.3,12.0,Free delivery,Electrical & Storage,5
537,R.K. AQUA,2719,6999,4.3,61.0,Free delivery,Electrical & Storage,50
540,Total Care,14500,15500,4.3,6.0,Free delivery,Electrical & Storage,5
541,HAVELLS ,9939,11499,3.6,13.0,Free delivery,Electrical & Storage,5
542,Aquaguard Superb,22500,50000,4.3,55.0,Free delivery,Electrical & Storage,5
543,star aqua,5250,19590,4.3,73.0,Free delivery,Electrical & Storage,20
546,AquaDpure Bio,4999,23499,4.3,78.0,Free delivery,Electrical & Storage,12
547,SUPER AQUAFRESH,4131,16500,4.3,74.0,Free delivery,Electrical & Storage,25
550,Noir Aqua,6899,12999,3.5,46.0,Free delivery,Electrical & Storage,18
551,KONVIO RO+UV+UF+TDS,6499,19999,3.7,67.0,Free delivery,Electrical & Storage,20
552,SKS Aqua,4010,9999,4.3,59.0,Free delivery,Electrical & Storage,5
553,Aqua Fresh,4549,13999,3.6,67.0,Free delivery,Electrical & Storage,12
556,trypkon TRON-4,4999,17437,5.0,71.0,Free delivery,Electrical & Storage,20
557,Bio Plus,90000,16599,4.3,43.5,Free delivery,Electrical & Non - Storage,90
